1,6
1,47
1,55
1,63
1,78
1,83
2,36
2,38
2,49
2,63
2,67
2,69
2,74
3,8
3,50
4,36
4,38
4,45
4,51
4,52
4,61
4,62
4,63
5,0
5,52
5,94
6,7
6,42
6,81
7,6
7,53
7,55
7,78
8,4
8,17
8,36
8,39
8,41
8,73
9,35
9,85
9,87
10,11
10,63
10,93
10,97
11,9
11,35
12,11
12,18
12,63
12,81
13,42
14,39
14,40
14,43
14,59
14,80
15,7
15,14
15,21
15,25
15,40
15,83
15,85
16,8
16,10
16,38
16,60
16,69
16,93
17,8
17,17
17,36
17,38
17,43
17,63
18,83
19,8
19,38
20,5
20,73
21,85
22,8
22,38
22,57
22,62
23,0
23,7
23,12
23,86
23,91
24,63
25,50
26,42
26,85
27,11
27,23
27,26
27,29
27,92
28,0
28,4
28,14
28,20
28,26
28,63
29,11
30,42
30,62
31,13
31,72
31,96
32,17
32,38
32,80
32,83
32,84
33,18
33,48
33,71
34,6
34,19
34,25
34,33
34,62
34,75
