1,6
6,1
1,47
47,1
1,55
55,1
1,63
63,1
1,78
78,1
1,83
83,1
2,36
36,2
2,38
38,2
2,49
49,2
2,63
63,2
2,67
67,2
2,69
69,2
2,74
74,2
3,8
8,3
3,50
50,3
4,36
36,4
4,38
38,4
4,45
45,4
4,51
51,4
4,52
52,4
4,61
61,4
4,62
62,4
4,63
63,4
5,0
0,5
5,52
52,5
5,94
94,5
6,7
7,6
6,42
42,6
6,81
81,6
7,6
6,7
7,53
53,7
7,55
55,7
7,78
78,7
8,4
4,8
8,17
17,8
8,36
36,8
8,39
39,8
8,41
41,8
8,73
73,8
9,35
35,9
9,85
85,9
9,87
87,9
10,11
11,10
10,63
63,10
10,93
93,10
10,97
97,10
11,9
9,11
11,35
35,11
12,11
11,12
12,18
18,12
12,63
63,12
12,81
81,12
13,42
42,13
14,39
39,14
14,40
40,14
14,43
43,14
14,59
59,14
14,80
80,14
15,7
7,15
15,14
14,15
15,21
21,15
15,25
25,15
15,40
40,15
15,83
83,15
15,85
85,15
16,8
8,16
16,10
10,16
16,38
38,16
16,60
60,16
16,69
69,16
16,93
93,16
17,8
8,17
17,17
17,17
17,36
36,17
17,38
38,17
17,43
43,17
17,63
63,17
18,83
83,18
19,8
8,19
19,38
38,19
20,5
5,20
20,73
73,20
21,85
85,21
22,8
8,22
22,38
38,22
22,57
57,22
22,62
62,22
23,0
0,23
23,7
7,23
23,12
12,23
23,86
86,23
23,91
91,23
24,63
63,24
25,50
50,25
26,42
42,26
26,85
85,26
27,11
11,27
27,23
23,27
27,26
26,27
27,29
29,27
27,92
92,27
28,0
0,28
28,4
4,28
28,14
14,28
28,20
20,28
28,26
26,28
28,63
63,28
29,11
11,29
30,42
42,30
30,62
62,30
31,13
13,31
31,72
72,31
31,96
96,31
32,17
17,32
32,38
38,32
32,80
80,32
32,83
83,32
32,84
84,32
33,18
18,33
33,48
48,33
33,71
71,33
34,6
6,34
34,19
19,34
34,25
25,34
34,33
33,34
34,62
62,34
34,75
75,34
